,Open,High,Low,Close,Volume
2024-10-30 04:00:00,5883.0,5893.0,5840.25,5852.0,1347170
2024-10-31 04:00:00,5840.0,5844.0,5733.25,5738.5,1973513
2024-11-01 04:00:00,5742.0,5803.75,5732.5,5758.25,1592031
2024-11-04 05:00:00,5741.75,5776.5,5724.25,5743.25,1333685
2024-11-05 05:00:00,5752.25,5823.25,5735.0,5812.25,1198797
2024-11-06 05:00:00,5820.25,5967.0,5814.75,5958.25,2023257
2024-11-07 05:00:00,5963.5,6013.0,5951.0,6003.75,1285585
2024-11-08 05:00:00,6007.75,6040.5,5990.25,6025.25,1184512
2024-11-11 05:00:00,6030.0,6053.25,6013.5,6031.75,1069929
2024-11-12 05:00:00,6029.25,6036.5,5986.75,6013.0,1407120
2024-11-13 05:00:00,6012.25,6035.25,5991.75,6016.0,1445258
2024-11-14 05:00:00,6017.75,6025.25,5964.25,5978.25,1538927
2024-11-15 05:00:00,5972.0,5974.25,5876.75,5896.5,2008339
2024-11-18 05:00:00,5899.75,5933.0,5886.5,5920.0,1332326
2024-11-19 05:00:00,5919.0,5947.5,5855.0,5938.75,1636346
2024-11-20 05:00:00,5937.75,5957.75,5880.0,5937.75,1597257
2024-11-21 05:00:00,5937.25,5985.0,5905.25,5970.5,1867101
2024-11-22 05:00:00,5967.0,5993.5,5940.75,5987.0,1550734
2024-11-25 05:00:00,6006.0,6040.0,5982.5,6006.5,1619917
2024-11-26 05:00:00,6013.25,6044.0,5976.25,6038.25,1336843
2024-11-27 05:00:00,6041.75,6047.0,6000.25,6015.0,1157171
2024-11-29 14:30:00,6015.0,6060.0,6014.75,6051.5,847984
2024-12-02 05:00:00,6051.5,6068.5,6036.0,6061.75,989033
2024-12-03 05:00:00,6064.0,6070.75,6047.5,6063.25,991961
2024-12-04 05:00:00,6067.0,6102.25,6063.0,6098.5,1142137
2024-12-05 05:00:00,6095.25,6107.25,6081.5,6088.75,1118784
2024-12-06 05:00:00,6085.5,6111.0,6076.0,6099.0,1167677
2024-12-09 05:00:00,6096.25,6105.75,6060.0,6065.75,1351194
2024-12-10 05:00:00,6065.25,6075.25,6039.75,6046.25,1350731
2024-12-11 05:00:00,6052.75,6102.5,6045.5,6092.75,1271795
2024-12-12 05:00:00,6087.5,6088.25,6055.5,6060.75,1565731
2024-12-13 05:00:00,6065.0,6085.25,6041.25,6055.5,1996354
2024-12-16 05:00:00,6055.5,6090.5,6051.5,6080.5,1612199
2024-12-17 05:00:00,6077.0,6079.25,6040.75,6053.75,1113325
2024-12-18 05:00:00,6053.5,6074.5,5840.0,5872.25,847452
2024-12-19 05:00:00,5881.75,5938.0,5865.5,5868.75,532081
2024-12-20 05:00:00,5879.5,5879.5,5800.75,5840.259765625,2340873
2024-12-23 05:00:00,6001.75,6043.0,5965.0,6036.0,1406019
2024-12-24 14:30:00,6037.75,6099.5,6030.0,6098.0,634201
2024-12-26 05:00:00,6099.25,6107.5,6063.25,6095.25,911486
2024-12-27 05:00:00,6092.0,6095.25,5982.75,6027.0,1641100
2024-12-30 05:00:00,6028.75,6036.25,5918.25,5958.75,1575134
2024-12-31 05:00:00,5955.0,5983.25,5917.25,5935.75,1382187
2025-01-02 05:00:00,5949.25,5995.25,5874.75,5916.5,1826031
2025-01-03 05:00:00,5921.0,5996.75,5911.25,5989.5,1206570
2025-01-06 05:00:00,5994.5,6068.25,5980.75,6020.5,1547298
2025-01-07 05:00:00,6028.0,6045.5,5935.0,5954.25,1771767
2025-01-08 05:00:00,5955.5,5975.0,5917.0,5959.25,1764315
2025-01-09 05:00:00,5955.0,5957.0,5929.25,5944.75,113831
2025-01-10 05:00:00,5943.75,5959.25,5845.25,5866.25,2130067
2025-01-13 05:00:00,5864.5,5883.25,5809.0,5874.5,1755341
2025-01-14 05:00:00,5887.25,5918.5,5842.5,5882.25,1839961
2025-01-15 05:00:00,5891.5,6001.25,5879.5,5989.0,1657670
2025-01-16 05:00:00,5988.5,6017.5,5961.75,5975.5,1566439
2025-01-17 05:00:00,5970.25,6051.5,5968.0,6033.5,1417304
2025-01-21 05:00:00,6032.25,6093.25,5994.5,6084.25,1725952
2025-01-22 05:00:00,6094.0,6135.75,6087.0,6120.5,1249850
2025-01-23 05:00:00,6120.0,6154.0,6101.5,6152.0,1136009
2025-01-24 05:00:00,6148.0,6162.25,6122.0,6133.25,1254280
2025-01-27 05:00:00,6102.25,6105.25,5948.0,6046.75,2385614
2025-01-28 05:00:00,6059.5,6105.5,6023.5,6097.0,1585216
2025-01-29 05:00:00,6090.75,6111.5,6042.25,6067.5,1552941
2025-01-30 05:00:00,6068.5,6116.25,6056.5,6099.25,1606753
2025-01-31 05:00:00,6106.0,6147.75,6057.75,6067.25,1866467
2025-02-03 05:00:00,5982.25,6062.0,5935.5,6022.25,2314824
2025-02-04 05:00:00,6069.0,6069.0,5987.0,6063.0,1333376
2025-02-05 05:00:00,6042.75,6092.0,6020.25,6086.5,1216433
2025-02-06 05:00:00,6090.25,6108.5,6070.0,6106.0,1179112
2025-02-07 05:00:00,6089.75,6123.25,6041.25,6049.5,1683475
2025-02-10 05:00:00,6016.0,6096.0,6014.0,6088.75,1005560
2025-02-11 05:00:00,6085.5,6098.75,6057.75,6092.25,1017366
2025-02-12 05:00:00,6090.75,6098.0,6020.75,6072.75,1558395
2025-02-13 05:00:00,6079.75,6138.0,6053.5,6135.25,1523953
2025-02-14 05:00:00,6131.75,6146.75,6121.25,6132.0,1018370
2025-02-18 05:00:00,6138.25,6157.75,6118.25,6146.75,1200599
2025-02-19 05:00:00,6143.75,6166.5,6129.25,6163.0,1078997
2025-02-20 05:00:00,6153.75,6159.5,6102.75,6136.5,1405343
2025-02-21 05:00:00,6132.5,6142.5,6024.5,6029.0,1940563
2025-02-24 05:00:00,6040.75,6067.5,5994.5,6000.75,1797847
2025-02-25 05:00:00,6006.5,6016.0,5924.0,5970.0,2215332
2025-02-26 05:00:00,5982.0,6023.75,5945.5,5970.75,1901306
2025-02-27 05:00:00,5980.0,6014.5,5873.0,5876.25,2579895
2025-02-28 05:00:00,5883.0,5971.0,5848.0,5963.25,2784347
2025-03-03 05:00:00,5967.5,6000.5,5821.75,5860.75,2610882
2025-03-04 05:00:00,5874.0,5884.0,5744.0,5789.5,3353551
2025-03-05 05:00:00,5832.0,5869.5,5750.75,5851.25,2284032
2025-03-06 05:00:00,5844.75,5853.5,5720.0,5746.25,2553819
2025-03-07 05:00:00,5766.0,5791.0,5673.0,5776.0,2315005
2025-03-10 04:00:00,5753.0,5757.75,5571.5,5620.75,2590102
2025-03-11 04:00:00,5622.0,5651.75,5534.0,5577.0,2623963
2025-03-12 04:00:00,5580.0,5675.0,5550.25,5604.75,2004740
2025-03-13 04:00:00,5596.5,5623.0,5509.25,5527.5,2163776
2025-03-14 04:00:00,5540.0,5648.75,5538.75,5640.0,2191954
2025-03-17 04:00:00,5626.75,5707.5,5599.0,5680.25,2086734
2025-03-18 04:00:00,5680.0,5686.25,5600.0,5618.0,1111733
2025-03-19 04:00:00,5618.5,5718.5,5606.25,5678.5,704394
2025-03-20 04:00:00,5680.0,5714.25,5631.5,5662.5,412785
2025-03-21 04:00:00,5664.0,5674.25,5597.5,5617.7998046875,1629871
2025-03-24 04:00:00,5740.0,5825.5,5739.0,5815.5,1404629
2025-03-25 04:00:00,5813.0,5837.25,5802.25,5826.5,1078548
2025-03-26 04:00:00,5831.0,5836.5,5743.0,5759.5,1483959
2025-03-27 04:00:00,5737.25,5779.75,5720.0,5739.25,1575855
2025-03-28 04:00:00,5741.75,5747.75,5602.25,5623.0,1910914
2025-03-31 04:00:00,5590.0,5672.75,5533.75,5653.25,2229839
2025-04-01 04:00:00,5644.25,5694.75,5600.25,5674.5,1871505
2025-04-02 04:00:00,5672.0,5773.25,5566.25,5712.25,2060456
2025-04-03 04:00:00,5550.5,5564.75,5415.25,5432.75,2470412
2025-04-04 04:00:00,5423.0,5435.0,5074.0,5110.25,3678162
2025-04-07 04:00:00,5007.0,5286.5,4832.0,5097.25,3673583
2025-04-08 04:00:00,5126.5,5305.25,4940.5,5020.25,2438061
2025-04-09 04:00:00,5006.25,5520.0,4871.75,5491.0,3096194
2025-04-10 04:00:00,5502.5,5528.75,5146.75,5302.0,2524214
2025-04-11 04:00:00,5299.25,5418.25,5206.0,5391.25,1759660
2025-04-14 04:00:00,5452.5,5497.75,5391.0,5440.75,1303900
2025-04-15 04:00:00,5431.75,5485.0,5413.0,5428.25,1158703
2025-04-16 04:00:00,5403.75,5425.0,5251.0,5305.75,1559064
2025-04-17 04:00:00,5308.0,5371.25,5285.5,5312.75,1381396
2025-04-21 04:00:00,5283.75,5306.75,5127.25,5184.75,1191218
2025-04-22 04:00:00,5182.5,5339.25,5171.75,5314.75,1572006
2025-04-23 04:00:00,5379.75,5499.75,5377.75,5401.75,1846494
2025-04-24 04:00:00,5409.0,5541.5,5355.25,5511.25,1411419
2025-04-25 04:00:00,5529.0,5562.25,5480.25,5549.75,1339888
2025-04-28 04:00:00,5544.0,5578.75,5492.0,5553.0,1198801
2025-04-29 04:00:00,5543.0,5597.25,5521.5,5583.75,1227182
2025-04-30 04:00:00,5579.5,5626.25,5455.5,5587.0,1833646
2025-05-01 04:00:00,5617.5,5682.5,5601.75,5623.25,1388619
2025-05-02 04:00:00,5608.5,5724.75,5601.0,5709.0,1383367
2025-05-05 04:00:00,5705.0,5706.25,5655.25,5671.75,989373
2025-05-06 04:00:00,5666.25,5673.25,5605.0,5625.75,1303877
2025-05-07 04:00:00,5608.5,5689.75,5596.0,5652.0,1390561
2025-05-08 04:00:00,5643.25,5741.0,5636.5,5684.5,1428613
2025-05-09 04:00:00,5688.5,5715.25,5662.5,5678.0,1029418
2025-05-12 04:00:00,5761.0,5876.25,5734.25,5865.0,1765593
2025-05-13 04:00:00,5868.0,5927.0,5835.75,5904.5,1335457
2025-05-14 04:00:00,5902.0,5925.0,5890.0,5908.5,1207202
2025-05-15 04:00:00,5904.0,5944.5,5867.0,5933.25,1291986
2025-05-16 04:00:00,5935.0,5977.5,5923.0,5975.5,1180875
2025-05-19 04:00:00,5930.25,5987.5,5892.75,5982.5,1245859
2025-05-20 04:00:00,5980.0,5993.5,5926.75,5959.75,1112908
2025-05-21 04:00:00,5953.5,5958.25,5847.75,5861.25,1548946
2025-05-22 04:00:00,5858.0,5895.0,5828.75,5856.75,1419522
